time,heart_rate
2019-10-25 16:32:02+00:00,74.0
2019-10-25 16:32:03+00:00,73.0
2019-10-25 16:32:04+00:00,72.0
2019-10-25 16:32:05+00:00,71.0
2019-10-25 16:32:06+00:00,70.0
2019-10-25 16:32:07+00:00,69.0
2019-10-25 16:32:08+00:00,67.0
2019-10-25 16:32:09+00:00,66.0
2019-10-25 16:32:10+00:00,65.0
2019-10-25 16:32:11+00:00,63.0
2019-10-25 16:32:12+00:00,63.0
2019-10-25 16:32:13+00:00,62.0
2019-10-25 16:32:14+00:00,62.0
2019-10-25 16:32:15+00:00,62.0
2019-10-25 16:32:16+00:00,61.0
2019-10-25 16:32:17+00:00,61.0
2019-10-25 16:32:18+00:00,61.0
2019-10-25 16:32:19+00:00,61.0
2019-10-25 16:32:20+00:00,61.0
2019-10-25 16:32:21+00:00,61.0
2019-10-25 16:32:22+00:00,61.0
2019-10-25 16:32:23+00:00,61.0
2019-10-25 16:32:24+00:00,61.0
2019-10-25 16:32:25+00:00,62.0
2019-10-25 16:32:26+00:00,62.0
2019-10-25 16:32:27+00:00,62.0
2019-10-25 16:32:28+00:00,61.0
2019-10-25 16:32:29+00:00,61.0
2019-10-25 16:32:30+00:00,61.0
2019-10-25 16:32:31+00:00,61.0
2019-10-25 16:32:32+00:00,61.0
2019-10-25 16:32:33+00:00,61.0
2019-10-25 16:32:34+00:00,61.0
2019-10-25 16:32:35+00:00,61.0
2019-10-25 16:32:36+00:00,62.0
2019-10-25 16:32:37+00:00,62.0
2019-10-25 16:32:38+00:00,62.0
2019-10-25 16:32:39+00:00,63.0
2019-10-25 16:32:40+00:00,63.0
2019-10-25 16:32:41+00:00,64.0
2019-10-25 16:32:42+00:00,65.0
2019-10-25 16:32:43+00:00,66.0
2019-10-25 16:32:44+00:00,67.0
2019-10-25 16:32:45+00:00,68.0
2019-10-25 16:32:46+00:00,69.0
2019-10-25 16:32:47+00:00,70.0
2019-10-25 16:32:48+00:00,71.0
2019-10-25 16:32:49+00:00,72.0
2019-10-25 16:32:50+00:00,73.0
2019-10-25 16:32:51+00:00,74.0
2019-10-25 16:32:52+00:00,74.0
2019-10-25 16:32:53+00:00,74.0
2019-10-25 16:32:54+00:00,74.0
2019-10-25 16:32:55+00:00,74.0
2019-10-25 16:32:56+00:00,73.0
2019-10-25 16:32:57+00:00,72.0
2019-10-25 16:32:58+00:00,72.0
2019-10-25 16:32:59+00:00,71.0
2019-10-25 16:33:00+00:00,71.0
2019-10-25 16:33:01+00:00,71.0
2019-10-25 16:33:02+00:00,72.0
2019-10-25 16:33:03+00:00,73.0
2019-10-25 16:33:04+00:00,73.0
2019-10-25 16:33:05+00:00,74.0
2019-10-25 16:33:06+00:00,73.0
2019-10-25 16:33:07+00:00,73.0
2019-10-25 16:33:08+00:00,73.0
2019-10-25 16:33:09+00:00,72.0
2019-10-25 16:33:10+00:00,71.0
2019-10-25 16:33:11+00:00,70.0
2019-10-25 16:33:12+00:00,68.0
2019-10-25 16:33:13+00:00,67.0
2019-10-25 16:33:14+00:00,66.0
2019-10-25 16:33:15+00:00,65.0
2019-10-25 16:33:16+00:00,64.0
2019-10-25 16:33:17+00:00,63.0
2019-10-25 16:33:18+00:00,63.0
2019-10-25 16:33:19+00:00,62.0
2019-10-25 16:33:20+00:00,62.0
2019-10-25 16:33:21+00:00,62.0
2019-10-25 16:33:22+00:00,62.0
2019-10-25 16:33:23+00:00,62.0
2019-10-25 16:33:24+00:00,62.0
2019-10-25 16:33:25+00:00,62.0
2019-10-25 16:33:26+00:00,64.0
2019-10-25 16:33:27+00:00,65.0
2019-10-25 16:33:28+00:00,67.0
2019-10-25 16:33:29+00:00,68.0
2019-10-25 16:33:30+00:00,69.0
2019-10-25 16:33:31+00:00,70.0
2019-10-25 16:33:32+00:00,72.0
2019-10-25 16:33:33+00:00,73.0
2019-10-25 16:33:34+00:00,73.0
2019-10-25 16:33:35+00:00,74.0
2019-10-25 16:33:36+00:00,74.0
2019-10-25 16:33:37+00:00,74.0
2019-10-25 16:33:38+00:00,74.0
2019-10-25 16:33:39+00:00,73.0
2019-10-25 16:33:40+00:00,73.0
2019-10-25 16:33:41+00:00,72.0
2019-10-25 16:33:42+00:00,72.0
2019-10-25 16:33:43+00:00,73.0
2019-10-25 16:33:44+00:00,74.0
2019-10-25 16:33:45+00:00,75.0
2019-10-25 16:33:46+00:00,75.0
2019-10-25 16:33:47+00:00,75.0
2019-10-25 16:33:48+00:00,76.0
2019-10-25 16:33:49+00:00,77.0
2019-10-25 16:33:50+00:00,76.0
2019-10-25 16:33:51+00:00,75.0
2019-10-25 16:33:52+00:00,75.0
2019-10-25 16:33:53+00:00,74.0
2019-10-25 16:33:54+00:00,74.0
2019-10-25 16:33:55+00:00,74.0
2019-10-25 16:33:56+00:00,74.0
2019-10-25 16:33:57+00:00,74.0
2019-10-25 16:33:58+00:00,74.0
2019-10-25 16:33:59+00:00,74.0
2019-10-25 16:34:00+00:00,74.0
2019-10-25 16:34:01+00:00,74.0
2019-10-25 16:34:02+00:00,73.0
2019-10-25 16:34:03+00:00,72.0
2019-10-25 16:34:04+00:00,71.0
2019-10-25 16:34:05+00:00,71.0
2019-10-25 16:34:06+00:00,70.0
2019-10-25 16:34:07+00:00,69.0
2019-10-25 16:34:08+00:00,68.0
2019-10-25 16:34:09+00:00,68.0
2019-10-25 16:34:10+00:00,67.0
2019-10-25 16:34:11+00:00,66.0
2019-10-25 16:34:12+00:00,65.0
2019-10-25 16:34:13+00:00,64.0
2019-10-25 16:34:14+00:00,63.0
2019-10-25 16:34:15+00:00,62.0
2019-10-25 16:34:16+00:00,61.0
2019-10-25 16:34:17+00:00,60.0
2019-10-25 16:34:18+00:00,59.0
2019-10-25 16:34:19+00:00,58.0
2019-10-25 16:34:20+00:00,56.0
2019-10-25 16:34:21+00:00,55.0
2019-10-25 16:34:22+00:00,55.0
2019-10-25 16:34:23+00:00,55.0
2019-10-25 16:34:24+00:00,54.0
2019-10-25 16:34:25+00:00,54.0
2019-10-25 16:34:26+00:00,54.0
2019-10-25 16:34:27+00:00,53.0
2019-10-25 16:34:28+00:00,54.0
2019-10-25 16:34:29+00:00,54.0
2019-10-25 16:34:30+00:00,55.0
2019-10-25 16:34:31+00:00,55.0
2019-10-25 16:34:32+00:00,55.0
2019-10-25 16:34:33+00:00,56.0
2019-10-25 16:34:34+00:00,56.0
2019-10-25 16:34:35+00:00,57.0
2019-10-25 16:34:36+00:00,57.0
2019-10-25 16:34:37+00:00,57.0
2019-10-25 16:34:38+00:00,58.0
2019-10-25 16:34:39+00:00,58.0
2019-10-25 16:34:40+00:00,58.0
2019-10-25 16:34:41+00:00,59.0
2019-10-25 16:34:42+00:00,59.0
2019-10-25 16:34:43+00:00,60.0
2019-10-25 16:34:44+00:00,61.0
2019-10-25 16:34:45+00:00,63.0
2019-10-25 16:34:46+00:00,64.0
2019-10-25 16:34:47+00:00,64.0
2019-10-25 16:34:48+00:00,65.0
2019-10-25 16:34:49+00:00,66.0
2019-10-25 16:34:50+00:00,66.0
2019-10-25 16:34:51+00:00,66.0
2019-10-25 16:34:52+00:00,67.0
2019-10-25 16:34:53+00:00,66.0
2019-10-25 16:34:54+00:00,66.0
2019-10-25 16:34:55+00:00,65.0
2019-10-25 16:34:56+00:00,65.0
2019-10-25 16:34:57+00:00,65.0
2019-10-25 16:34:58+00:00,64.0
2019-10-25 16:34:59+00:00,63.0
2019-10-25 16:35:00+00:00,63.0
2019-10-25 16:35:01+00:00,63.0
2019-10-25 16:35:02+00:00,63.0
2019-10-25 16:35:03+00:00,62.0
2019-10-25 16:35:04+00:00,63.0
2019-10-25 16:35:05+00:00,63.0
2019-10-25 16:35:06+00:00,63.0
2019-10-25 16:35:07+00:00,63.0
2019-10-25 16:35:08+00:00,62.0
2019-10-25 16:35:09+00:00,62.0
2019-10-25 16:35:10+00:00,62.0
2019-10-25 16:35:11+00:00,62.0
2019-10-25 16:35:12+00:00,61.0
2019-10-25 16:35:13+00:00,61.0
